Subgroup,N,Recall_Cardio,Precision_Cardio,F1_Cardio,Recall_Kidney,Precision_Kidney,F1_Kidney,Recall_Neuro,Precision_Neuro,F1_Neuro
AfricanAmerican,2585,0.9234972677595629,0.7022160664819944,0.7977970102281668,0.743421052631579,0.21220657276995306,0.3301680058436815,0.9047619047619048,0.00982419855222337,0.019437340153452685
Asian,104,0.9649122807017544,0.5612244897959183,0.7096774193548387,0.5714285714285714,0.1,0.1702127659574468,1.0,0.014705882352941176,0.028985507246376812
Caucasian,10719,0.9680337756332931,0.660833762223366,0.785465222976693,0.8336886993603412,0.15929924628233857,0.26748760047887804,0.8571428571428571,0.010296010296010296,0.020347604917337857
Hispanic,283,0.8947368421052632,0.6098654708520179,0.7253333333333334,0.875,0.21428571428571427,0.3442622950819672,1.0,0.014018691588785047,0.027649769585253458
Other,228,0.9708029197080292,0.6616915422885572,0.7869822485207101,0.7619047619047619,0.21333333333333335,0.3333333333333333,0.0,0.0,0.0
Unknown,384,0.958904109589041,0.6194690265486725,0.7526881720430108,0.5333333333333333,0.12903225806451613,0.2077922077922078,1.0,0.024390243902439025,0.047619047619047616
