Subgroup,N,Recall_Cardio,Precision_Cardio,F1_Cardio,Recall_Kidney,Precision_Kidney,F1_Kidney,Recall_Neuro,Precision_Neuro,F1_Neuro
40–59,3733,0.874448258950466,0.602161431948666,0.7132,0.7394636015325671,0.1605657237936772,0.2638414217361586,0.9534883720930233,0.013242894056847546,0.026122969098438992
60–74,3241,1.0,0.6698668318364819,0.8022997032640949,0.8111455108359134,0.18219749652294853,0.2975582055650199,0.9130434782608695,0.00857843137254902,0.0169971671388102
75+,6448,0.9997761361092455,0.6938014603075967,0.8191489361702128,0.8270348837209303,0.164545980335454,0.2744814278822962,0.75,0.008726003490401396,0.017251293847038527
<40,881,0.36,0.5478260869565217,0.43448275862068964,0.7884615384615384,0.19248826291079812,0.30943396226415093,0.9,0.013975155279503106,0.027522935779816515
