Model,F1-Micro,F1-Macro,Recall-Micro,Recall-Macro,ROC-AUC Macro,Recall-Cardio,Recall-Kidney,Recall-Neuro
Chain RF (base),0.6056,0.3425,0.6147,0.3938,0.7080,0.6355,0.5287,0.0172
MO GBM (base),0.7263,0.2987,0.7611,0.3138,0.7240,0.8751,0.0665,0.0000
Neural Net (base),0.4715,0.3376,0.9838,0.9134,0.7170,0.9903,0.9569,0.7931
Chain RF (tuned),0.4949,0.3616,0.9375,0.8778,0.7080,0.9583,0.8044,0.8707
MO GBM (tuned),0.6497,0.3639,0.9172,0.5915,0.7240,0.9446,0.8127,0.0172
Neural Net (tuned),0.5035,0.3616,0.9320,0.8565,0.7170,0.9524,0.8066,0.8103
